Image,Status,Coord_Source,Image_Coords,Matched_IDPEL,Matched_Nama,Matched_Coords,Distance_M,Kabupaten,Notes
"-6.7063, 108.5571.jpg",NO_COORDS,,,,,,,,No coordinates found in EXIF or watermark
"-6.715, 108.557.jpg",NO_COORDS,,,,,,,,No coordinates found in EXIF or watermark
"-6.7392, 108.5525.jpg",NO_COORDS,,,,,,,,No coordinates found in EXIF or watermark
"-6.7601, 108.483.jpg",NO_COORDS,,,,,,,,No coordinates found in EXIF or watermark
"-6.7615, 108.4845.jpg",NO_COORDS,,,,,,,,No coordinates found in EXIF or watermark
-6.7660097211111 108.550643411111.png,NO_COORDS,,,,,,,,No coordinates found in EXIF or watermark
