id,idpel,nama,koordinat_x,koordinat_y,nama_kabupaten,nama_kecamatan,nama_kelurahan
696094,533212201776,"PJU ***** ***** **** *",-6.98313430000000,108.48228610000000,"KAB. KUNINGAN",KUNINGAN,KUNINGAN
696095,533212750984,"PJU ****** *** ********",-6.96727000000000,108.55948300000000,"KAB. KUNINGAN",CIAWIGEBANG,CIOMAS
696096,533212750744,"PJU ****** *** ********",-6.96743200000000,108.56244300000000,"KAB. KUNINGAN",CIAWIGEBANG,CIOMAS
696097,533212750545,"PJU ****** *** ********",-7.02519360000000,108.60430300000000,"KAB. KUNINGAN",LEBAKWANGI,PAGUNDAN
696098,533212750578,"PJU ****** *** ********",-7.03365720000000,108.60299920000000,"KAB. KUNINGAN",LEBAKWANGI,PAGUNDAN
696099,533212742296,"PJU ****** *** ********",-6.99554000000000,108.63343000000000,"KAB. KUNINGAN",LURAGUNG,CIKANDANG
696101,533212147259,"PJU ***** **********",-7.01566300000000,108.60492300000000,"KAB. KUNINGAN",LEBAKWANGI,MEKARWANGI
696102,533212152726,"PJU ***** ** ******* ****",-7.06307610000000,108.74672220000000,"KAB. KUNINGAN",CIBINGBIN,SINDANGJAWA
696103,533212152734,"PJU ***** ** *******",-7.01852060000000,108.64233300000000,"KAB. KUNINGAN",LURAGUNG,LURAGUNGLANDEUH
696105,533212152759,"PJU ***** ** **********",-6.95904990000000,108.57763020000000,"KAB. KUNINGAN",CIAWIGEBANG,KARANGKAMULYAN
696106,533212152767,"PJU ***** ** ******* ***",-6.99031530000000,108.57831270000000,"KAB. KUNINGAN",CIAWIGEBANG,PAJAWANLOR
696107,533212152775,"PJU ***** ** *******",-6.97624940000000,108.58286540000000,"KAB. KUNINGAN",CIAWIGEBANG,CIPUTAT
696108,533212152783,"PJU ***** ** ***** *****",-6.96712820000000,108.56093870000000,"KAB. KUNINGAN",CIAWIGEBANG,DUKUHDALEM
696114,533212075062,"PJU ***** *",-6.96846840000000,108.60807510000000,"KAB. KUNINGAN",KALIMANGGIS,KALIMANGGISKULON
696115,533212075070,"PJU ***** *",-6.96933110000000,108.60882160000000,"KAB. KUNINGAN",KALIMANGGIS,KALIMANGGISKULON
696118,533212909371,"PJU ****** *** **********",-7.02220200000000,108.66695200000000,"KAB. KUNINGAN",LURAGUNG,CIKADUWETAN
696119,533211974976,"PJU *****",-7.01179680000000,108.42765760000000,"KAB. KUNINGAN",NUSAHERANG,KERTAWIRAMA
696120,533211974984,"PJU *****",-7.00349330000000,108.44776580000000,"KAB. KUNINGAN",KADUGEDE,KADUGEDE
696122,533211975002,"PJU *****",-7.00104980000000,108.44616450000000,"KAB. KUNINGAN",KADUGEDE,BAYUNING
696126,533211975051,"PJU *****",-7.00711960000000,108.39768700000000,"KAB. KUNINGAN",NUSAHERANG,CIKADU
696127,533211986173,"PJU *****",-6.98863600000000,108.57932590000000,"KAB. KUNINGAN",CIAWIGEBANG,PAJAWANLOR
696128,533211986181,"PJU *****",-7.01666520000000,108.62183040000000,"KAB. KUNINGAN",LURAGUNG,MARGASARI
696129,533211963414,"PJU *********",-6.94401090000000,108.69809080000000,"KAB. KUNINGAN",CIDAHU,JATIMULYA
696135,533211994696,"PJU ***** *** *******",-7.01701550000000,108.63550090000000,"KAB. KUNINGAN",LURAGUNG,LURAGUNGLANDEUH
696136,533212103772,"PJU *****",-6.95705780000000,108.48886060000000,"KAB. KUNINGAN",KUNINGAN,CIRENDANG
696137,533212043618,"PJU *****",-7.00160210000000,108.34397450000000,"KAB. MAJALENGKA",CIKIJING,BANJARANSARI
696138,533212043626,"PJU *****",-6.99456136591730,108.35740382935000,"KAB. MAJALENGKA",CIKIJING,SUNALARI
696139,533212045550,"PJU *** **** ********** *",-6.96248770000000,108.51007210000000,"KAB. KUNINGAN",KUNINGAN,KEDUNGARUM
696140,533212045568,"PJU ** **** *************",-6.96326540000000,108.51216500000000,"KAB. KUNINGAN",KUNINGAN,ANCARAN
696142,533212906764,"PJU ****** *** ******** *",-6.97233500000000,108.63748200000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696143,533212905589,"PJU ****** *** **********",-6.97519000000000,108.55683000000000,"KAB. KUNINGAN",CIAWIGEBANG,CIOMAS
696144,533212905522,"PJU ****** *** **********",-6.97539300000000,108.55725000000000,"KAB. KUNINGAN",CIAWIGEBANG,CIOMAS
696145,533212906827,"PJU ****** *** **********",-6.97855800000000,108.63502700000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696146,533212906914,"PJU ****** *** **********",-6.97550000000000,108.62570000000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
